ENTREZ	Sample	CellType	Rep	Counts	SYMBOL	LENGTH
473	CD34_2	CD34	2	1901	RERE	496525
474	CD34_1	CD34	1	0	ATOH1	2212
474	CD34_2	CD34	2	0	ATOH1	2212
475	CD34_1	CD34	1	284	ATOX1	30217
475	CD34_2	CD34	2	467	ATOX1	30217
476	CD34_1	CD34	1	4952	ATP1A1	37594
476	CD34_2	CD34	2	4202	ATP1A1	37594
477	CD34_1	CD34	1	13	ATP1A2	27833
477	CD34_2	CD34	2	26	ATP1A2	27833
478	CD34_1	CD34	1	78	ATP1A3	40619
478	CD34_2	CD34	2	67	ATP1A3	40619
479	CD34_1	CD34	1	17	ATP12A	32065
479	CD34_2	CD34	2	4	ATP12A	32065
480	CD34_1	CD34	1	9	ATP1A4	35395
480	CD34_2	CD34	2	11	ATP1A4	35395
481	CD34_1	CD34	1	1937	ATP1B1	205296
481	CD34_2	CD34	2	1017	ATP1B1	205296
482	CD34_1	CD34	1	157	ATP1B2	11144
482	CD34_2	CD34	2	75	ATP1B2	11144
483	CD34_1	CD34	1	1075	ATP1B3	50426
483	CD34_2	CD34	2	1789	ATP1B3	50426
486	CD34_1	CD34	1	47	FXYD2	26969
486	CD34_2	CD34	2	18	FXYD2	26969
487	CD34_1	CD34	1	29	ATP2A1	26062
487	CD34_2	CD34	2	19	ATP2A1	26062
488	CD34_1	CD34	1	4529	ATP2A2	70338
488	CD34_2	CD34	2	2925	ATP2A2	70338
489	CD34_1	CD34	1	3465	ATP2A3	40595
489	CD34_2	CD34	2	3188	ATP2A3	40595
490	CD34_1	CD34	1	1610	ATP2B1	121318
490	CD34_2	CD34	2	913	ATP2B1	121318
491	CD34_1	CD34	1	12	ATP2B2	383985
491	CD34_2	CD34	2	4	ATP2B2	383985
492	CD34_1	CD34	1	4	ATP2B3	65298
492	CD34_2	CD34	2	6	ATP2B3	65298
493	CD34_1	CD34	1	5011	ATP2B4	117250
493	CD34_2	CD34	2	3053	ATP2B4	117250
495	CD34_1	CD34	1	0	ATP4A	13628
495	CD34_2	CD34	2	0	ATP4A	13628
